descriptor,scaler,cluster_class,cluster_class_params,labels,n_clusters,calinski_harabasz_score,davies_bouldin_score
vdc_type,norm,DBSCAN,"{'eps': 1.0, 'min_samples': 128.0}",[0 0 0 ... 0 0 0],2,646.1762383533002,10.543255652491977
vdc_type,norm,DBSCAN,"{'eps': 1.0, 'min_samples': 256.0}",[0 0 0 ... 0 0 0],2,676.5408295328068,10.798240317017854
vdc_type,norm,DBSCAN,"{'eps': 1.0, 'min_samples': 512.0}",[0 0 0 ... 0 0 0],2,681.8017224274882,11.23492501697136
vdc_type,norm,DBSCAN,"{'eps': 1.0, 'min_samples': 1024.0}",[0 0 0 ... 0 0 0],2,693.4130109501425,11.61235314279368
vdc_type,norm,DBSCAN,"{'eps': 1.0, 'min_samples': 2048.0}",[0 0 0 ... 0 0 0],2,699.5043396443945,12.031910370693677
vdc_type,norm,HDBSCAN,{'min_cluster_size': 8},[1 1 1 ... 1 1 1],3,267.85910838383415,6.738350220828018
vdc_type,norm,HDBSCAN,{'min_cluster_size': 12},[0 0 0 ... 0 0 0],3,272.1857235145671,6.611087248786511
vdc_type,norm,HDBSCAN,{'min_cluster_size': 16},[0 0 0 ... 0 0 0],3,271.4485437753363,6.5165421559258405
vdc_type,norm,HDBSCAN,{'min_cluster_size': 24},[0 0 0 ... 0 0 0],3,268.18514621179213,6.37160590732951
vdc_type,norm,HDBSCAN,{'min_cluster_size': 32},[0 0 0 ... 0 0 0],3,204.98489134997106,5.45922970994895
vdc_type,norm,HDBSCAN,{'min_cluster_size': 48},[0 0 0 ... 0 0 0],3,204.98489134997106,5.45922970994895
vdc_type,norm,KMeans,{'n_clusters': 2},[1 1 1 ... 0 0 0],2,4437.900789919148,6.688259252602966
vdc_type,norm,KMeans,{'n_clusters': 3},[1 1 1 ... 0 0 0],3,2985.9134293462394,6.97574361401995
vdc_type,norm,KMeans,{'n_clusters': 5},[4 4 4 ... 3 2 0],5,2250.5670119414444,6.750817707722966
vdc_type,norm,KMeans,{'n_clusters': 7},[5 4 5 ... 1 3 1],7,1911.1069668692662,6.181972355749392
vdc_type,norm,KMeans,{'n_clusters': 9},[7 8 7 ... 4 5 4],9,1708.7206556118786,5.95782575467424
vdc_type,norm,KMeans,{'n_clusters': 14},[ 0 10  0 ...  3 12  7],14,1428.9062169681583,5.2019224770033645
